Array<A>.pathDescription.getter	release	3
Array<A>.pathDescription.getter	retain	2
AssayError.debugDescription.getter	release	7
AssayError.debugDescription.getter	retain	3
AssayError.init(issues:source:sourceName:)	ref	1
AssayError.issues.getter	retain	1
AssayError.sourceName.getter	retain	1
AssayReader._decodeBoolCoercing(_:_:_:)	release	40
AssayReader._decodeDate(_:_:_:_:)	release	26
AssayReader._decodeDate(_:_:_:_:)	retain	8
AssayReader._decodeDateOrNull(_:_:_:_:)	release	29
AssayReader._decodeDateOrNull(_:_:_:_:)	retain	8
AssayReader._decodeIntCoercing(_:_:_:)	release	3
AssayReader._missingRequired(_:_:_:)	release	2
AssayReader._missingRequired(_:_:_:)	retain	2
AssayReader._missingRequired(_:_:_:)	stack-allocated-ref	1
AssayReader._noVariantMatched(_:_:_:_:_:)	release	2
AssayReader._noVariantMatched(_:_:_:_:_:)	retain	3
AssayReader._noVariantMatched(_:_:_:_:_:)	stack-allocated-ref	1
AssayReader._nullNotAllowed(_:_:_:_:)	release	2
AssayReader._nullNotAllowed(_:_:_:_:)	retain	3
AssayReader._nullNotAllowed(_:_:_:_:)	stack-allocated-ref	2
AssayReader._reportUnknownKey(_:_:_:known:reject:)	release	7
AssayReader._reportUnknownKey(_:_:_:known:reject:)	retain	6
AssayReader._scanDiscriminator(_:_:_:)	release	2
AssayReader._scanDiscriminator(_:_:_:)	retain	2
AssayReader._scanDiscriminator(_:_:_:)	stack-allocated-ref	1
AssayReader._unknownVariant(_:_:_:_:_:)	release	3
AssayReader._unknownVariant(_:_:_:_:_:)	retain	4
AssayReader._unknownVariant(_:_:_:_:_:)	stack-allocated-ref	2
AssayReader.dateFromNumber(_:_:_:_:_:valueStart:)	release	18
AssayReader.dateFromNumber(_:_:_:_:_:valueStart:)	retain	5
AssayReader.dateFromText(_:_:_:_:_:valueStart:)	release	7
AssayReader.dateFromText(_:_:_:_:_:valueStart:)	retain	3
AssayReader.failed(_:_:_:_:_:)	release	10
AssayReader.failed(_:_:_:_:_:)	retain	8
AssayReader.failed(_:_:_:_:_:)	stack-allocated-ref	1
AssayReader.overflowed(_:_:_:_:)	release	2
AssayReader.overflowed(_:_:_:_:)	retain	2
AssayReader.overflowed(_:_:_:_:)	stack-allocated-ref	1
AssayReader.report(_:_:_:params:span:)	release	2
AssayReader.report(_:_:_:params:span:)	retain	4
AssayReader.reportDepth(_:)	release	2
AssayReader.reportDepth(_:)	retain	1
AssayReader.reportDepth(_:)	stack-allocated-ref	1
AssayReader.reportInvalidDate(_:_:_:_:received:failure:caretAt:)	release	8
AssayReader.reportInvalidDate(_:_:_:_:received:failure:caretAt:)	retain	7
AssayReader.reportInvalidDate(_:_:_:_:received:failure:caretAt:)	stack-allocated-ref	2
AssayReader.reportMalformed(_:_:expected:)	release	3
AssayReader.reportMalformed(_:_:expected:)	retain	3
AssayReader.reportTypeMismatch(_:_:expected:)	release	2
AssayReader.reportTypeMismatch(_:_:expected:)	retain	3
AssayReader.reportTypeMismatch(_:_:expected:)	stack-allocated-ref	1
AssayReader.reportUnionBudget(_:_:)	release	2
AssayReader.reportUnionBudget(_:_:)	retain	2
AssayReader.reportUnionBudget(_:_:)	stack-allocated-ref	1
AssayReader.scanJSONArray(_:_:_:)	release	3
AssayReader.scanJSONNumber(_:_:)	release	2
AssayReader.scanJSONNumber(_:_:)	retain	2
AssayReader.scanJSONObject(_:_:_:)	release	8
AssayReader.scanJSONObject(_:_:_:)	retain	1
AssayReader.scanJSONValue(_:_:)	release	2
AssayReader.scanJSONValue(_:_:)	retain	1
AssayReader.scanStringSlow(from:)	release	1
AssayReader.warnDateFallback(_:_:_:matched:primary:)	release	2
AssayReader.warnDateFallback(_:_:_:matched:primary:)	retain	1
AssayReader.warnDateFallback(_:_:_:matched:primary:)	stack-allocated-ref	2
CompiledPattern.__allocating_init(_:)	ref	1
CompiledPattern.init(_:)	release	2
CompiledPattern.init(_:)	retain	1
DateFormat.displayName.getter	release	1
FieldDescriptor.init(wireKey:aliases:propertyName:type:wireType:isRequired:rules:)	release	1
FieldDescriptor.init(wireKey:aliases:propertyName:type:wireType:isRequired:rules:)	retain	1
Issue.description.getter	release	1
Issue.init(code:path:params:received:location:)	release	1
Issue.init(code:path:params:received:location:)	retain	1
Issue.message.getter	release	144
Issue.message.getter	retain	2
Issue.unitSuffix(_:)	release	5
Issue.unitSuffix(_:)	retain	1
IssueCode.codeString.getter	retain	1
IssueSink._insertKey(since:_:at:)	release	1
IssueSink._insertKey(since:_:at:)	retain	1
IssueSink.add(_:)	retain	1
IssueSink.add(warning:)	retain	3
IssueValue.displayString.getter	retain	1
Issues.add(_:at:)	release	1
Issues.add(_:at:)	retain	2
Issues.add(code:_:params:at:)	release	2
Issues.add(code:_:params:at:)	retain	5
Issues.fieldPath(_:)	ref	1
Issues.fieldPath(_:)	release	2
Issues.fieldPath(_:)	retain	1
Issues.merge(into:at:)	release	5
Issues.merge(into:at:)	retain	3
JSON.Value.all(_:)	release	3
JSON.Value.all(_:)	retain	4
JSON.Value.array.getter	retain	1
JSON.Value.hash(into:)	release	3
JSON.Value.hash(into:)	retain	3
JSON.Value.object.getter	retain	1
JSON.Value.string.getter	retain	1
JSON.Value.subscript.getter	retain	2
JSONSchemaValue.text(indent:)	release	36
JSONSchemaValue.text(indent:)	retain	15
JSONWriter.unrepresentable(_:_:_:_:)	release	2
JSONWriter.unrepresentable(_:_:_:_:)	retain	2
JSONWriter.unrepresentable(_:_:_:_:)	stack-allocated-ref	1
JSONWriter.write(_:_:_:_:)	release	9
JSONWriter.write(_:_:_:_:)	retain	10
